id,module,name,path,route,evidence_level,evidence_ref,status,notes
EDGE-0102,financial,page_controller,PAGE-0066,CTRL-0015,S,static name/path token overlap from AOT catalogs,linked,PAGE-0066 -[page_controller]-> CTRL-0015; token_overlap:financial
EDGE-0103,financial,page_controller,PAGE-0066,CTRL-0016,S,static name/path token overlap from AOT catalogs,linked,PAGE-0066 -[page_controller]-> CTRL-0016; token_overlap:financial
EDGE-0104,record,page_controller,PAGE-0066,CTRL-0027,S,static name/path token overlap from AOT catalogs,linked,PAGE-0066 -[page_controller]-> CTRL-0027; token_overlap:record
EDGE-0105,record,page_controller,PAGE-0066,CTRL-0029,S,static name/path token overlap from AOT catalogs,linked,PAGE-0066 -[page_controller]-> CTRL-0029; token_overlap:record
EDGE-0106,list,page_controller,PAGE-0067,CTRL-0013,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0013; token_overlap:list
EDGE-0107,financial,page_controller,PAGE-0067,CTRL-0015,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0015; token_overlap:financial
EDGE-0108,financial,page_controller,PAGE-0067,CTRL-0016,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0016; token_overlap:financial
EDGE-0109,list,page_controller,PAGE-0067,CTRL-0017,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0017; token_overlap:list
EDGE-0110,list,page_controller,PAGE-0067,CTRL-0018,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0018; token_overlap:list
EDGE-0111,list,page_controller,PAGE-0067,CTRL-0026,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0026; token_overlap:list
EDGE-0112,record,page_controller,PAGE-0067,CTRL-0027,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0027; token_overlap:record
EDGE-0113,"list,record",page_controller,PAGE-0067,CTRL-0029,S,static name/path token overlap from AOT catalogs,linked,"PAGE-0067 -[page_controller]-> CTRL-0029; token_overlap:list,record"
EDGE-0114,list,page_controller,PAGE-0067,CTRL-0031,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0031; token_overlap:list
EDGE-0115,list,page_controller,PAGE-0067,CTRL-0032,S,static name/path token overlap from AOT catalogs,linked,PAGE-0067 -[page_controller]-> CTRL-0032; token_overlap:list
EDGE-0116,list,page_controller,PAGE-0068,CTRL-0013,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0013; token_overlap:list
EDGE-0117,financial,page_controller,PAGE-0068,CTRL-0015,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0015; token_overlap:financial
EDGE-0118,financial,page_controller,PAGE-0068,CTRL-0016,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0016; token_overlap:financial
EDGE-0119,list,page_controller,PAGE-0068,CTRL-0017,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0017; token_overlap:list
EDGE-0120,list,page_controller,PAGE-0068,CTRL-0018,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0018; token_overlap:list
EDGE-0121,list,page_controller,PAGE-0068,CTRL-0026,S,static name/path token overlap from AOT catalogs,linked,PAGE-0068 -[page_controller]-> CTRL-0026; token_overlap:list
