id,module,name,path,route,evidence_level,evidence_ref,status,notes
API-N-0341,admin/tabbar,web-admin-named-request,web-only,/api/admin/tabbar/update/:id,W,merged app+web baselines,normalized|web-only|P1|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0186; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0342,admin/template-distributions,app-only,app-only,/api/admin/template-distributions/published,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0207; method=∅; method_source=∅; auth=bearer-or-token-header; entities=contract_template,receipt_template,template_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0343,admin/template,path-heuristic-medium,app-only,/api/admin/template/categories,I,merged app+web baselines,normalized|app-only|P2|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0208; method=get; method_source=path-heuristic-medium; auth=bearer-or-token-header; entities=cat,contract_template,receipt_template,template_info; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0344,admin/templates,app-only,app-only,/api/admin/templates/,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0209; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0345,admin/themes,app-only,app-only,/api/admin/themes,S,merged app+web baselines,normalized|app-only|P2|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0210; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0346,admin/tool,web-admin-named-request,shared,/api/admin/tool/prices | /api/admin/tool/prices/,S,merged app+web baselines,normalized|shared|P2|method=web,"sources=shared; evidence_combo=S+W; raw_ids=API-APP-0211,API-APP-0212,API-WEB-0187; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=tool_item; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0347,admin/tool,web-admin-named-request,web-only,/api/admin/tool/prices/:id/reply,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0188; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=tool_item; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0348,admin/tool,web-admin-named-request,shared,/api/admin/tool/watermark,S,merged app+web baselines,normalized|shared|P2|method=web,"sources=shared; evidence_combo=S+W; raw_ids=API-APP-0213,API-WEB-0189; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=tool_item; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0349,admin/tools,web-admin-named-request,shared,/api/admin/tools | /api/admin/tools/,S,merged app+web baselines,normalized|shared|P2|method=web,"sources=shared; evidence_combo=S+W; raw_ids=API-APP-0214,API-WEB-0190; method=get; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0350,admin/tools,web-admin-named-request,web-only,/api/admin/tools/:id/switch,W,merged app+web baselines,normalized|web-only|P2|method=web,"sources=web-only; evidence_combo=W; raw_ids=API-WEB-0191; method=put; method_source=web-admin-named-request; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
